Eng,Rus
"The matrix operators for multiplication, division, and power each have a corresponding array operator that operates element-wise. For example, raise each element of a to the third power:","Для каждого из матричных операторов умножения, деления и возведения в степень существует соответствующий оператор для поэлементных операций. Например, возведите каждый элемент массива в третью степень:"
"To add text to the end of a string, use the plus operator,                 +.","Чтобы добавить текст в конец строки, используйте оператор плюс, +."
"DVD installation — Insert DVD 1 into the DVD drive                                 connected to your system. When the DVD icon appears on the desktop,                                 double-click the icon to display the DVD contents, and then                                 double-click the InstallForMacOSX icon to begin                                 the installation.","Установка DVD — Вставьте DVD 1 в DVD-привод, соединенный с вашей системой. Когда значок DVD появится на рабочем столе, дважды кликните значок, чтобы отобразить содержимое DVD, и затем дважды кликнуть значок InstallForMacOSX, чтобы начать установку."
Find the nonzero elements in a 3-by-3 matrix.,Найдите ненулевые элементы в матрице 3-на-3.
"Debugging and testing, organizing large projects, source control integration,                 toolbox packaging","Отлаживание и тестирование, организация крупных проектов, интеграция с системой контроля версий, упаковка тулбокса"
"Controllability and observability, Lyapunov and Riccati equations","Управляемость и наблюдаемость, Ляпунов и уравнения Риккати"
"Linear algebra, differentiation and integrals, Fourier transforms, and other mathematics","Линейная алгебра, дифференцирование и интегралы, преобразования Фурье и другая математика (автопремодерация)"
"Concatenate character arrays with square brackets, just as you concatenate numeric                 arrays.","Объединяйте символьные массивы квадратными скобками, так же, как вы объединяете числовые массивы."
"Configure, explore, and import database data","Сконфигурируйте, исследуйте и импортируйте данные базы данных. TEST"
"Concatenating arrays next to one another using commas is called horizontal concatenation. Each array must have the same number of rows. Similarly, when the arrays have the same number of columns, you can concatenate vertically using semicolons.","Конкатенация массивов друг с другом с помощью запятых называется горизонтальной конкатенацией. Каждый массив должен иметь одинаковое количество строк. Точно так же, когда массивы имеют одинаковое количество столбцов, можно конкатенировать вертикально с использованием точки с запятой."
MATLAB displays only the values of A and C             in the Command Window.,MATLAB отображает только значения A и C в Командном окне. TEST
"Linear algebra, differentiation and integrals, Fourier transforms, and other mathematics","Линейная алгебра, дифференцирование и интегрирование, преобразование Фурье и прочая математика"
"If the text includes double quotes, use two double quotes within the                 definition.","Если текст включает двойные кавычки, используйте две двойных кавычки при определении."
Step 3: Install With a File Installation Key,Шаг 3: Установите с File Installation Key
"Sometimes characters represent data that does not correspond to text, such as a                 DNA sequence. You can store this type of data in a character array, which has data                 type char. Character arrays use single                 quotes.","Иногда символы представляют данные, который не соответствует тексту, такие как последовательность ДНК. Можно сохранить этот тип данных в символьном массиве, который имеет тип данных char. Символьные массивы используют одинарные кавычки."
Design models of time-varying systems,Проектные модели изменяющихся во времени систем
Using a single subscript to refer to a particular element in an array is called linear indexing.,Использование одинарного индекса для обращения к конкретному элементу массива называется линейной индексацией.
"There are two ways to refer to a particular element in an array. The most common way is to specify row and column subscripts, such as",Существует два способа обратиться к конкретному элементу в массиве. Наиболее распространенный способ - это задание индексов строки и столбца
Learn the basics of MATLAB,Изучите основы MATLAB 7899999
When to Generate Code from MATLAB Algorithms,Когда нужно генерировать код из алгоритмов MATLAB
"Debugging and testing, organizing large projects, source control integration,                 toolbox packaging","Отладка и тестирование, организация крупных проектов, интеграция с системой контроля версий, упаковка тулбоксов"
Open settings panel for ASIO driver,Открыть панель настроек для драйвера ASIO
"Extend the existing Simulink modeling functionality using MATLAB, C/C++, and Fortran code","Расширьте существующий Simulink, моделируя использование функциональности MATLAB, C/C++ и код Fortran"
"Use Simulink® to model algorithms and physical systems using block diagrams. You can                 model linear and nonlinear systems, factoring in real-world phenomena such as                 friction, gear slippage, and hard stops.","Используйте Simulink® для моделирования алгоритмов и физических систем с помощью блок-схем. Вы можете смоделировать линейные и нелинейные системы, включающие в реальные явления, такие как трение, проскальзывание передачи, и жесткие остановки."
DVD installation — Insert DVD 1 into the DVD drive connected to your system and execute this command:,"Установка DVD — Вставьте DVD 1 в DVD-привод, соединенный с вашей системой, и выполняет эту команду:"
"To run the installer interactively without an internet connection, you need:the     following:","Для запуска установщика в интерактивном режиме без интернет-соединения, вы потребуется следующее:"
Extend existing Simulink® modeling functionality using MATLAB® and C/C++ code,Расширьте существующую функциональность моделирования Simulink® с помощью кода C/C++ и кода&nbsp;MATLAB®
"Copy the products files (including the installer file) to your computer or an accessible location (for example, DVDs, USB drive, or network share).","Скопируйте файлы продуктов (включая файл инсталлятора) на ваш компьютер или доступное местоположение (например, DVDs, Карта памяти или сетевой ресурс)."
"Every variable in MATLAB® is an array that can hold many numbers. When you want to access selected elements of an array, use indexing.","Каждая переменная в MATLAB® является массивом, который может содержать много чисел. Используйте индексацию для получения доступа к выбранным элементам массива, ."
Automatic Meter Reading,Автоматическое чтение счетчика
